feature,selection_frequency,mean_signed_coefficient,mean_abs_coefficient,n_sparse_models,association_statistic,association_p,effect_size,empirical_permutation_p,q_value,normalized_effect,transport_stability_weight,CSDS,task,protocol,label_classes,description
E_D_to_R__G2,0.0,0.0,0.0,40,13.162072847894933,0.0013864116397300668,0.03141306168948672,0.0196078431372549,0.02898550724637681,0.11336325006564735,0.4806638703028183,0.0,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
E_D_to_C__G2,0.275,0.03350273590965007,0.03350273590965007,40,32.23352452385461,1.0013342783894095e-07,0.07692965280156232,0.0196078431372549,0.02898550724637681,0.27762322419293717,0.41133681615844137,0.030493816433937622,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
E_R_to_C__G2,0.25,-0.008099582793999638,0.011515265195626734,40,20.262656789669457,3.9812548961329686e-05,0.048359562743841185,0.0196078431372549,0.02898550724637681,0.1745196714215923,0.3954484098157291,0.01675328361786434,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
p_sheaf__G2,0.625,0.03653153850279548,0.04071814183469556,40,73.55102975070395,1.0680628771625956e-16,0.17553945047900704,0.0196078431372549,0.02898550724637681,0.6334856123781786,0.7,0.2691166233744255,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
E_total__G3,0.0,0.0,0.0,40,5.084548394549984,0.07868724583211971,0.012134960368854376,0.058823529411764705,0.08,0.043792565030092635,0.3764444871872407,0.0,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
E_D_to_R__G3,0.225,-0.01698752635009706,0.01698752635009706,40,4.078391005474941,0.13013336070998516,0.009733630084665731,0.19607843137254902,0.21505376344086022,0.035126660121250326,0.4806638703028183,0.002981952816635092,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
E_D_to_C__G3,0.0,0.0,0.0,40,4.168910404152939,0.12437486087754981,0.009949666835687205,0.11764705882352941,0.14285714285714285,0.03590629212501689,0.41133681615844137,0.0,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
E_R_to_C__G3,0.275,-0.01423959882478353,0.01701976284066683,40,1.4407918236225306,0.4865595831359172,0.0034386439704595,0.37254901960784315,0.39583333333333337,0.012409355705699766,0.3954484098157291,0.0008153207988695275,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
p_sheaf__G3,0.75,0.007638812176283089,0.0629987944451613,40,6.685676386728346,0.03533652337681157,0.01595626822608197,0.0784313725490196,0.09876543209876543,0.05758287564924812,0.7,0.027245230978486835,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
E_total__G4,0.0,0.0,0.0,40,11.152774564618085,0.0037862193819081175,0.026617600392883255,0.0196078431372549,0.02898550724637681,0.09605742093250899,0.3764444871872407,0.0,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
E_D_to_R__G4,1.0,-0.4199561750743796,0.43366452059167726,40,61.87266945473948,3.6687704348206235e-14,0.14766746886572668,0.0196078431372549,0.02898550724637681,0.5329013887617682,0.4806638703028183,0.24872190940293545,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
E_D_to_C__G4,0.625,-0.031636589162877767,0.047579689631979075,40,0.48109782408209867,0.786196190047338,0.0011482048307448656,0.8235294117647058,0.8235294117647058,0.004143634028448672,0.41133681615844137,0.0001879885178589544,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
E_R_to_C__G4,0.0,0.0,0.0,40,0.3391740412994903,0.8440133046984166,0.000809484585440311,0.803921568627451,0.8235294117647058,0.0029212626387917135,0.3954484098157291,0.0,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
p_sheaf__G4,1.0,0.6855649269172818,0.6855649269172818,40,86.47629465013642,1.6669063806582953e-19,0.20638733806715137,0.0196078431372549,0.02898550724637681,0.7448092658704506,0.7,0.5062544140481758,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
transport_margin,0.95,0.12994475860723426,0.1467775048981404,40,31.65020579401221,1.34043307755436e-07,0.07553748399525587,0.0196078431372549,0.02898550724637681,0.2725991745767951,0.615510405167195,0.15477800792972732,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
