feature,selection_frequency,mean_signed_coefficient,mean_abs_coefficient,n_sparse_models,association_statistic,association_p,effect_size,empirical_permutation_p,q_value,normalized_effect,transport_stability_weight,CSDS,task,protocol,label_classes,description
E_D_to_R__G4,1.0,-0.3359134602111813,0.3867742582614627,40,61.87266945473948,3.6687704348206235e-14,0.14766746886572668,0.0196078431372549,0.026666666666666665,0.5329013887617682,0.4796123352805428,0.24877045075058873,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
transport_margin,1.0,-0.28859791447058086,0.28859791447058086,40,44.88000712652047,1.79651264580344e-10,0.1071121888461109,0.0196078431372549,0.026666666666666665,0.3865457614182312,0.6116149538334907,0.23011271021036053,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
transport_dist_to__G4,0.925,0.14415631682513724,0.14415631682513724,40,38.35822931152916,4.6839940768345014e-09,0.09154708666236076,0.0196078431372549,0.026666666666666665,0.3303745232054223,0.6116149538334907,0.18192315288182737,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
E_R_to_C,1.0,0.733197034085119,0.733197034085119,40,38.370228273252664,4.655976672990657e-09,0.09157572380251232,0.0196078431372549,0.026666666666666665,0.3304778687281305,0.3870261681943814,0.12449282098804364,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
transport_min_distance,0.6,0.017708862123535684,0.048475188146390694,40,36.50355920583388,1.1840030838191715e-08,0.08712066636237203,0.0196078431372549,0.026666666666666665,0.3144004867895062,0.6116149538334907,0.11229855090038666,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
frac_D_to_R,1.0,-0.3606452917780377,0.3606452917780377,40,21.89138052407634,1.7633849040579374e-05,0.052246731561041385,0.0196078431372549,0.026666666666666665,0.18854766063918368,0.4796123352805428,0.08801832292868637,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
E_D_to_C,0.95,0.08903027433115822,0.17120458938105254,40,27.250947606855334,1.2092940438826497e-06,0.0650380611142132,0.0196078431372549,0.026666666666666665,0.23470892645726943,0.39697359074466315,0.08615419416846125,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
sheaf_dist_to__G4,0.75,-0.07861636884583462,0.07861636884583462,40,21.311521266556383,2.3564702241855503e-05,0.05086281925192454,0.0196078431372549,0.026666666666666665,0.18355340701570305,0.6116149538334907,0.08195272624725909,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
E_D_to_R,1.0,-0.3388372607866127,0.37273005680204,40,9.6821317361198,0.007898630665138701,0.023107712974032937,0.0196078431372549,0.026666666666666665,0.08339096233963122,0.4796123352805428,0.03892879194396227,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
frac_D_to_C,1.0,0.2527927611162034,0.2527927611162034,40,10.686224008189356,0.004780969139908738,0.025504114578017555,0.0196078431372549,0.026666666666666665,0.09203908065982498,0.39697359074466315,0.035562762089345244,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
