model,model_family,feature,beta_per_sd,hazard_ratio_per_sd,hr_ci_low,hr_ci_high,p_value,regularized_fallback
Strict no-grade/no-IDH baseline,strict,mgmt_methylated,-0.2510339793261915,0.7779959353321549,0.6900347239470869,0.8771698791201245,4.116335083300721e-05,False
Strict no-grade/no-IDH baseline,strict,egfr_amp,0.15836280858910246,1.1715911809520438,1.0378324665286591,1.3225890878859885,0.010457133008933481,False
Strict no-grade/no-IDH + Phase1 edges,strict,age,0.810834820484022,2.249785369839873,1.9305243304198956,2.6218442992866264,2.930923895423466e-25,False
Strict no-grade/no-IDH + Phase1 edges,strict,purity_low,0.11565621306908164,1.1226098671844702,1.005562596662946,1.2532814148837692,0.03952250648819767,False
Strict no-grade/no-IDH + Phase1 edges,strict,kps_low,0.2631279936772594,1.3009932272027345,1.1603324022796795,1.4587056035856663,6.56862367305869e-06,False
Strict no-grade/no-IDH + Phase1 edges,strict,mgmt_methylated,-0.23527480979183496,0.7903536228675059,0.6986122191514268,0.8941424613765517,0.00018597867665836405,False
Strict no-grade/no-IDH + Phase1 edges,strict,egfr_amp,0.19531131899805898,1.2156893947881646,1.0722145489993578,1.3783628528261085,0.0023024999210003367,False
Strict no-grade/no-IDH + Phase1 edges,strict,P1_E_D_to_R,0.1687464494252415,1.1838199426412404,1.060607517384968,1.3213461470181467,0.00261841606816886,False
Strict no-grade/no-IDH + Phase1 edges,strict,P1_E_D_to_C,-0.0010538894323477246,0.998946665714082,0.8821559678866145,1.1311995579783272,0.9867450374015784,False
Strict no-grade/no-IDH + Phase1 edges,strict,P1_E_R_to_C,0.10772639732434307,1.113742980636647,0.9862890033372821,1.2576672990575906,0.0823315208035587,False
Clinical + molecular + Phase2 edges [reference_bio_constrained_lowrisk],phase2_edges,age,0.6551666261026127,1.9254633230975682,1.6317677559412787,2.2720200194514364,8.573366687873745e-15,False
Clinical + molecular + Phase2 edges [reference_bio_constrained_lowrisk],phase2_edges,grade,0.4202838933939767,1.52239369178756,1.2515898558500855,1.8517907779145233,2.6042856905300006e-05,False
Clinical + molecular + Phase2 edges [reference_bio_constrained_lowrisk],phase2_edges,purity_low,0.047555009272174646,1.0487038879722188,0.9338924134839731,1.1776301303757426,0.42148129240482246,False
Clinical + molecular + Phase2 edges [reference_bio_constrained_lowrisk],phase2_edges,kps_low,0.13500891199879966,1.1445469845072147,1.002327173029001,1.3069463095426381,0.04611926184938397,False
Clinical + molecular + Phase2 edges [reference_bio_constrained_lowrisk],phase2_edges,idh_mutant,-0.40521539789276867,0.6668331609303912,0.5402581051767108,0.8230630142438546,0.00016124118278240454,False
Clinical + molecular + Phase2 edges [reference_bio_constrained_lowrisk],phase2_edges,mgmt_methylated,-0.058312545099612825,0.9433550603551338,0.835181653540872,1.0655391747707825,0.34804106540450486,False
Clinical + molecular + Phase2 edges [reference_bio_constrained_lowrisk],phase2_edges,egfr_amp,0.0034781894421992694,1.003484245362274,0.8879705598302496,1.1340247934377392,0.9555462663185258,False
Clinical + molecular + Phase2 edges [reference_bio_constrained_lowrisk],phase2_edges,P2_E_D_to_R,0.1201871897358954,1.1277079271722217,1.0006789946781358,1.270862260295684,0.04871291161696165,False
Clinical + molecular + Phase2 edges [reference_bio_constrained_lowrisk],phase2_edges,P2_E_D_to_C,-0.10488506532857673,0.9004280070363051,0.7263984723918463,1.1161512952879842,0.3384858644256161,False
Clinical + molecular + Phase2 edges [reference_bio_constrained_lowrisk],phase2_edges,P2_E_R_to_C,0.2150936882045569,1.2399780628426884,0.9882097394626689,1.5558899441399294,0.06323452887652507,False
Clinical + molecular + Phase2 edges [reference_ridge_lowrisk],phase2_edges,age,0.6341819432697918,1.885479081537196,1.60029102126714,2.2214905412013177,3.474972487809403e-14,False
Clinical + molecular + Phase2 edges [reference_ridge_lowrisk],phase2_edges,grade,0.44135294414519716,1.5548093663754912,1.2734224288071312,1.8983741067239308,1.4717558941634674e-05,False
Clinical + molecular + Phase2 edges [reference_ridge_lowrisk],phase2_edges,purity_low,0.04850589283456614,1.0497015575197217,0.9351800768465013,1.1782472564801967,0.41053190256115213,False
Clinical + molecular + Phase2 edges [reference_ridge_lowrisk],phase2_edges,kps_low,0.13371232946504613,1.143063946526378,1.0000378845350082,1.306545687972603,0.049935107440212574,False
Clinical + molecular + Phase2 edges [reference_ridge_lowrisk],phase2_edges,idh_mutant,-0.359951035913719,0.6977104879912037,0.5598619509354584,0.8694999262577904,0.0013500775074281465,False
Clinical + molecular + Phase2 edges [reference_ridge_lowrisk],phase2_edges,mgmt_methylated,-0.06539910723904865,0.9366935475905045,0.8289480195316263,1.0584436917931621,0.294202840582682,False
